id_point;lat;lon;nom;equipement;bus;rue;numrue;tourism
8947020815;43.4881613;-1.4754765;;;;;;
255401133;43.488261;-1.4756679;;;;;;
255400854;43.4884227;-1.4760437;;;;;;
6536947685;43.4884321;-1.4763368;;;;;;
5484526635;43.4883048;-1.4773017;;;;;;
254521787;43.4885703;-1.4819948;;;;;;
7770165934;43.4888067;-1.4822186;;;;;;
7593213502;43.4888735;-1.4822544;;;;;;
577898260;43.4939445;-1.468264;;;;;;
10180904249;43.4934313;-1.4675465;;;;;;
255321840;43.4932858;-1.4672106;;;;;;
1837681174;43.4896898;-1.471771;;;;;;
706302236;43.4897539;-1.471924;;;;;;
597616388;43.4897884;-1.4732641;;;;;;
706302151;43.4897946;-1.473439;;;;;;
597618542;43.4897784;-1.4742015;;;;;;
1804838595;43.488388;-1.4756004;;;;;;
388382478;43.4889952;-1.4755586;;;;;;
364415040;43.4896936;-1.4755435;;;;;;
388382468;43.489689;-1.4757971;;;;;;
388382302;43.4896967;-1.475949;;;;;;
388382294;43.4897095;-1.4761504;;;;;;
364415029;43.4898124;-1.47689;;;;;;
255402679;43.491879;-1.4771864;;;;;;
388382241;43.4919958;-1.4771146;;;;;;
255402704;43.492846;-1.4750013;;;;;;
255402703;43.492545;-1.4753941;;;;;;
255402215;43.4910207;-1.4758721;;;;;;
2502504417;43.4910607;-1.4759039;;;;;;
388382280;43.4913243;-1.4762268;;;;;;
255402735;43.4915597;-1.4765441;;;;;;
8074523115;43.4917182;-1.4768309;;;;;;
388189690;43.492253;-1.4776732;;;;;;
255402931;43.4872885;-1.4670597;;;;;;
3563697928;43.4869966;-1.4669135;;;;;;
255402932;43.4863971;-1.4664951;;;;;;
254920705;43.4909897;-1.4739744;;;;;;
5008960735;43.4909749;-1.4738431;;;;;;
257607801;43.4909007;-1.472986;;;;;;
1828784585;43.4913974;-1.4766636;;;;;;
7055043849;43.4924783;-1.4774345;;;;;;
388189759;43.4937859;-1.4768592;;;;;;
388189760;43.4940262;-1.476599;;;;;;
388189778;43.4926549;-1.4785666;;;;;;
1796035922;43.4927225;-1.4784973;;;;;;
6043931687;43.4928885;-1.4783283;;;;;;
388189779;43.4931471;-1.478073;;;;;;
388382243;43.4932216;-1.4779964;;;;;;
388382253;43.4929569;-1.4776772;;;;;;
388189796;43.4936224;-1.4776021;;;;;;
388189795;43.4934814;-1.477173;;;;;;
4867744975;43.497152;-1.4772011;;;;;;
570750540;43.4967297;-1.4755783;;;;;;
254920704;43.4910021;-1.4747741;;;;;;
388487692;43.4910089;-1.4745868;;;;;;
1806155778;43.4878927;-1.4744619;;;;;;
254920454;43.4878764;-1.474322;;;;;;
4014816148;43.4886325;-1.4760323;;;;;;
388382422;43.4886236;-1.4765196;;;;;;
388382418;43.488706;-1.4771333;;;;;;
269247897;43.4909025;-1.4777399;;;;;;
7531505242;43.4912786;-1.4775062;;;;;;
269247910;43.4906049;-1.4786147;;;;;;
388382398;43.4904538;-1.4782107;;;;;;
2441501518;43.4903879;-1.4780179;;;;;;
4868366903;43.4906783;-1.4778939;;;;;;
4868366902;43.4908412;-1.477782;;;;;;
269247895;43.4907334;-1.4771418;;;;;;
10929143675;43.4907438;-1.4771772;;;;;;
2441501539;43.4907585;-1.4772276;;;;;;
269247914;43.4915569;-1.4785121;;;;;;
269247916;43.4913974;-1.4774691;;;;;;
388382386;43.4891521;-1.4791984;;;;;;
1797141977;43.489647;-1.4792591;;;;;;
1797141978;43.4902928;-1.4790904;;;;;;
1797141979;43.4905455;-1.4790049;;;;;;
5790038515;43.4906295;-1.4789678;;;;;;
269247912;43.4907017;-1.4789345;;;;;;
8254491234;43.4917947;-1.4784024;;;;;;
1796035921;43.4926043;-1.4786167;;;;;;
388189793;43.4933724;-1.4782646;;;;;;
712884540;43.4937431;-1.4779213;;;;;;
255321717;43.4945593;-1.4777685;;;;;;
3668904712;43.4945001;-1.4778249;;;;;;
8242420520;43.4944158;-1.4779052;;;;;;
388382247;43.4943147;-1.4780015;;;;;;
388382255;43.4927366;-1.4771991;;;;;;
388382259;43.4929375;-1.4757168;;;;;;
388382262;43.493146;-1.4754172;;;;;;
388314411;43.492002;-1.4760566;;;;;;
388314412;43.4923761;-1.4767827;;;;;;
388382272;43.4921132;-1.4759256;;;;;;
388382274;43.4919735;-1.4755826;;;;;;
388382282;43.4921282;-1.4750626;;;;;;
1829826279;43.4909471;-1.4759743;;;;;;
2502504414;43.4909452;-1.4760048;;;;;;
10929143674;43.4907515;-1.4767152;;;;;;
388382293;43.4907401;-1.4767245;;;;;;
388382297;43.4888911;-1.4764177;;;;;;
1829826282;43.4909508;-1.4759129;;;;;;
2502504413;43.490922;-1.4759053;;;;;;
388382303;43.4905376;-1.4758035;;;;;;
255401810;43.4896898;-1.4757584;;;;;;
388382331;43.4897081;-1.4753293;;;;;;
6159080940;43.4902882;-1.4752994;;;;;;
6154744495;43.4905465;-1.4752827;;;;;;
388382328;43.4905823;-1.4752629;;;;;;
388382332;43.4900469;-1.4778496;;;;;;
10929144611;43.4899282;-1.4774283;;;;;;
388382335;43.4897842;-1.4769101;;;;;;
388382341;43.489663;-1.4786065;;;;;;
2779738355;43.4896465;-1.4785712;;;;;;
2779738353;43.4894963;-1.4782503;;;;;;
388382339;43.4894675;-1.4781854;;;;;;
4109357218;43.4894509;-1.4781553;;;;;;
2436291997;43.4892161;-1.4791302;;;;;;
7636051503;43.4892288;-1.4791168;;;;;;
388382222;43.4893466;-1.4789912;;;;;;
5732084627;43.4896469;-1.4789083;;;;;;
631661837;43.4899012;-1.478449;;;;;;
388382440;43.4891207;-1.4774251;;;;;;
388382450;43.4889015;-1.4764688;;;;;;
4014816154;43.4888183;-1.4760319;;;;;;
388382414;43.4887319;-1.477362;;;;;;
388382460;43.4885898;-1.4758943;;;;;;
388382463;43.488815;-1.4758782;;;;;;
4109357221;43.4893991;-1.475841;;;;;;
255400676;43.4883349;-1.4781044;;;;;;
4868369148;43.4883656;-1.4782935;;;;;;
8887883469;43.4907101;-1.4780726;;;;;;
5422316982;43.4907732;-1.4783156;;;;;;
9887512373;43.4889917;-1.4755243;;;;;;
1797141975;43.4888005;-1.4786354;;;;;;
1797141974;43.4886045;-1.4784061;;;;;;
5484526628;43.4885012;-1.4760079;;;;;;
4868366905;43.4906457;-1.4779239;;;;;;
3513549746;43.4903973;-1.4780112;;;;;;
7930570162;43.4903395;-1.4777017;;;;;;
3513549747;43.4906404;-1.4779039;;;;;;
6154744496;43.4906029;-1.4752056;;;;;;
388382329;43.4906817;-1.4747918;;;;;;
2441627780;43.4905246;-1.4766801;;;;;;
255400671;43.4904989;-1.4764605;;;;;;
10929143690;43.4904967;-1.4764311;;;;;;
388382337;43.4902989;-1.4777235;;;;;;
388382353;43.4888094;-1.4776921;;;;;;
4466289082;43.4890639;-1.4782303;;;;;;
4466289081;43.4891885;-1.4785009;;;;;;
388382405;43.4893783;-1.4789202;;;;;;
388487694;43.4897098;-1.4748359;;;;;;
254920559;43.4897063;-1.474934;;;;;;
5484528547;43.4897701;-1.4742591;;;;;;
255403449;43.4874172;-1.4669948;;;;;;
4117156040;43.487477;-1.4668659;;;;;;
1797215410;43.4876042;-1.4666493;;;;;;
1829828185;43.4879922;-1.4661439;;;;;;
840829607;43.4880198;-1.47543;;;;;;
388324410;43.4879667;-1.4752647;;;;;;
3635764344;43.4874948;-1.4671576;;;;;;
255402866;43.4874743;-1.4672488;;;;;;
401332562;43.4874845;-1.4670926;;;;;;
4117139168;43.4878231;-1.467289;;;;;;
401332570;43.4880713;-1.4674386;;;;;;
711707605;43.4902555;-1.4678617;;;;;;
