id_point;lat;lon;nom;equipement;bus;rue;numrue;tourism
4131081173;43.4863241;-1.4866372;;;;;36;
4131081174;43.4867706;-1.4834583;;;;;4;
4131081180;43.4867574;-1.4835907;;;;;6;
4131081182;43.4865184;-1.4849684;;;;;7;
4131081184;43.486747;-1.4837105;;;;;8;
4131081187;43.486505;-1.4850612;;;;;9;
4131327331;43.4863635;-1.485638;;;;;1;
4131327335;43.4857898;-1.4857587;;;;;10;
4131327343;43.4856577;-1.4857926;;;;;14;
4131327347;43.4854038;-1.4858291;;;;;16;
4131327351;43.4851702;-1.4858701;;;;;18;
4131327355;43.486345;-1.4845132;;;;;2;
4131327358;43.4855496;-1.4850783;;;;;3;
4131327360;43.4862689;-1.4842773;;;;;3;
4131327363;43.4859619;-1.4848239;;;;;4;
4131327364;43.4851983;-1.4835418;;;;;4;
4131327366;43.4860962;-1.4857215;;;;;4;
4131327367;43.4853937;-1.4851332;;;;;5;
4131327370;43.485848;-1.4848595;;;;;6;
4131327374;43.4860064;-1.485726;;;;;6;
4131327378;43.4857242;-1.4849045;;;;;8;
4131327382;43.4859302;-1.4857356;;;;;8;
4133699289;43.4918587;-1.4748592;;;;;10;
4133699290;43.4887951;-1.4777718;;;;;15;
4133699291;43.488865;-1.4777097;;;;;17;
4133699292;43.4920646;-1.4745751;;;;;2;
4133699293;43.4915256;-1.4752817;;;;;32;
4133699294;43.4914844;-1.4753347;;;;;34;
4133699295;43.4914414;-1.4753908;;;;;36;
4133699296;43.4913695;-1.4754856;;;;;40;
4133699297;43.4899433;-1.4767765;;;;;64;
4133699298;43.4899825;-1.4767566;;;;;66;
4133699299;43.4900862;-1.4766972;;;;;70;
4133703240;43.4881935;-1.4753005;;;;;1;
4133703241;43.4883584;-1.4756692;;;;;1;
4133703242;43.4885663;-1.4755337;;;;;10;
4133703243;43.4885553;-1.4752245;;;;;11;
4133703244;43.4887697;-1.4755901;;;;;11;
4133703245;43.4886063;-1.4755324;;;;;12;
4133703246;43.4885968;-1.4752149;;;;;13;
4133703247;43.48883;-1.4755902;;;;;13;
4133703248;43.4886437;-1.475531;;;;;14;
4133703249;43.4886251;-1.4752086;;;;;15;
4133703250;43.4888884;-1.4755902;;;;;15;
4133703251;43.4886794;-1.4755296;;;;;16;
4133703252;43.4889498;-1.4755901;;;;;17;
4133703253;43.4887154;-1.4755282;;;;;18;
4133703254;43.4890156;-1.4755896;;;;;19;
4133703255;43.4882863;-1.4755457;;;;;2;
4133703256;43.4887633;-1.4755268;;;;;20;
4133703257;43.4887049;-1.4751907;;;;;21;
4133703258;43.4890742;-1.4755887;;;;;21;
4133703259;43.488819;-1.4755258;;;;;22;
4133703260;43.4887982;-1.4751697;;;;;23;
4133703261;43.4891335;-1.4755878;;;;;23;
4133703262;43.4888682;-1.475525;;;;;24;
4133703263;43.4888428;-1.4751594;;;;;25;
4133703264;43.4891887;-1.4755872;;;;;25;
4133703265;43.4889104;-1.4755243;;;;;26;
4133703266;43.4888847;-1.4751501;;;;;27;
4133703267;43.4892294;-1.4755865;;;;;27;
4133703268;43.4889593;-1.4755238;;;;;28;
4133703269;43.4889235;-1.4751415;;;;;29;
4133703270;43.4892654;-1.475586;;;;;29;
4133703271;43.4883649;-1.4755756;;;;;2 bis;
4133703272;43.4884353;-1.4755434;;;;;2 ter;
4133703273;43.4882846;-1.4752816;;;;;3;
4133703274;43.4885278;-1.4756026;;;;;3;
4133703275;43.4890241;-1.475525;;;;;30;
4133703276;43.4889872;-1.4751256;;;;;31;
4133703277;43.4893121;-1.4755854;;;;;31;
4133703278;43.4890708;-1.4755239;;;;;32;
4133703279;43.4890437;-1.4751142;;;;;33;
4133703280;43.4893599;-1.4755847;;;;;33;
4133703281;43.4891236;-1.4755228;;;;;34;
4133703282;43.4891027;-1.4751024;;;;;35;
4133703283;43.489414;-1.4755839;;;;;35;
4133703284;43.4891746;-1.4755218;;;;;36;
4133703285;43.4891835;-1.4750868;;;;;37;
4133703286;43.4894816;-1.4755832;;;;;37;
4133703287;43.4892175;-1.475521;;;;;38;
4133703288;43.4895458;-1.4755827;;;;;39;
4133708289;43.4883968;-1.4752585;;;;;3 bis;
4133708290;43.4884619;-1.4755373;;;;;4;
4133708291;43.4892767;-1.4755201;;;;;40;
4133708292;43.4892513;-1.4750747;;;;;41;
4133708293;43.4896293;-1.4755806;;;;;41;
4133708294;43.489338;-1.4755192;;;;;42;
4133708295;43.489312;-1.4750641;;;;;43;
4133708296;43.4893898;-1.4755183;;;;;44;
4133708297;43.4893706;-1.475054;;;;;45;
4133708298;43.4894428;-1.4755174;;;;;46;
4133708299;43.4894168;-1.475046;;;;;47;
4133708300;43.4894997;-1.4755168;;;;;48;
4133708301;43.4894819;-1.4750345;;;;;49;
4133708302;43.4884399;-1.4752497;;;;;5;
4133708303;43.4885947;-1.4755985;;;;;5;
4133708304;43.4895538;-1.4755159;;;;;50;
4133708305;43.4895304;-1.475026;;;;;51;
4133708306;43.4896128;-1.4755147;;;;;52;
4133708307;43.4884964;-1.4755361;;;;;6;
4133708308;43.488479;-1.4752415;;;;;7;
4133708309;43.4886648;-1.4755941;;;;;7;
4133708310;43.4885306;-1.4755349;;;;;8;
4133708311;43.4885132;-1.475234;;;;;9;
4133708312;43.4887161;-1.47559;;;;;9;
4133742904;43.4888347;-1.4799492;;;;Avenue Maréchal de Lautrec;1;
4133742905;43.4881305;-1.478097;;;;Place de la Porte d'Espagne;1;
4133742906;43.488611;-1.4771359;;;;;1;
4133742907;43.4887846;-1.4765208;;;;;1;
4133742908;43.488683;-1.476082;;;;;1;
4133742909;43.4886178;-1.4761065;;;;;1;
4133742910;43.4896517;-1.4751433;;;;;1;
4133742911;43.4880303;-1.4756917;;;;;1;
4133742912;43.4886111;-1.4759513;;;;;1;
4133742913;43.4891014;-1.4763167;;;;;10;
4133742914;43.4888658;-1.4761778;;;;;10;
4133742915;43.4886482;-1.4764429;;;;;10;
4133742916;43.4884327;-1.476889;;;;;10;
4133742917;43.4888199;-1.475855;;;;;10;
4133742918;43.4894875;-1.476249;;;;;11;
4133742919;43.4888403;-1.4762718;;;;;11;
4133742920;43.4886259;-1.4766375;;;;;11;
4133742921;43.4896607;-1.4758904;;;;;11;
4133742922;43.4884247;-1.476946;;;;;11;
4133742923;43.4891746;-1.4762942;;;;;12;
4133742924;43.488891;-1.4762955;;;;;12;
4133742925;43.4886583;-1.4765591;;;;;12;
4133742926;43.4888808;-1.4758561;;;;;12;
4133742927;43.4896054;-1.4762207;;;;;13;
4133742928;43.488854;-1.4763405;;;;;13;
4133742929;43.4886355;-1.4767166;;;;;13;
4133742930;43.4896628;-1.475975;;;;;13;
