id_arete;lstpoints;parent;highway;nomvoie;surface;dist
23542275-1;[8947020815, 255401133];23542275;service;Rue Tour de Sault;asphalt;19.0
23542275-2;[255401133, 5484526626, 1806155819, 255400854];23542275;service;Rue Tour de Sault;asphalt;35.4
23542275-3;[255400854, 5484526627, 6536947685];23542275;service;Rue Tour de Sault;asphalt;23.8
23542275-4;[6536947685, 255400853, 5484526631, 255400852, 5484526635];23542275;service;Rue Tour de Sault;asphalt;80.4
23577363-1;[254521787, 3914833051, 7770165934];23577363;secondary;Allées Paulmy;asphalt;32.2
23577363-2;[7770165934, 7593213502];23577363;secondary;Allées Paulmy;asphalt;8.0
23577381-1;[577898260, 4868225030, 10180904249];23577381;residential;Rue de Belfort;asphalt;81.3
23577381-2;[10180904249, 8108541813, 8108541814, 8108541815, 255321840];23577381;residential;Rue de Belfort;asphalt;33.3
23585215-1;[1837681174, 4109391672, 706302236];23585215;pedestrian;Rue Pannecau;paving_stones;14.3
23585215-2;[706302236, 597616388];23585215;pedestrian;Rue Pannecau;paving_stones;108.3
23585215-3;[597616388, 706302151];23585215;pedestrian;Rue Pannecau;paving_stones;14.1
23585215-4;[706302151, 5484528546, 597618542];23585215;pedestrian;Rue Pannecau;paving_stones;61.9
23585248-1;[255401133, 5484526625, 4109357220, 1804838595];23585248;pedestrian;Rue des Basques;sett;15.2
23585248-2;[1804838595, 5484526624, 5484526623, 388382478];23585248;pedestrian;Rue des Basques;sett;67.7
23585248-3;[388382478, 364415040];23585248;pedestrian;Rue des Basques;sett;77.8
23585263-1;[388382468, 388382302];23585263;pedestrian;Rue Poissonnerie;paving_stones;12.3
23585263-2;[388382302, 388382294];23585263;pedestrian;Rue Poissonnerie;paving_stones;16.3
23585263-3;[388382294, 364415029];23585263;pedestrian;Rue Poissonnerie;paving_stones;60.8
23585325;[255402679, 388382241];23585325;living_street;Rue Adolphe Thiers;concrete:plates;14.2
23585332;[255402704, 3668900018, 255402703];23585332;pedestrian;Rue Port Neuf;paving_stones;46.1
23585338-1;[255402215, 2502504417];23585338;pedestrian;Rue Orbe;paving_stones;5.1
23585338-2;[2502504417, 388382280];23585338;pedestrian;Rue Orbe;paving_stones;39.3
23585338-3;[388382280, 255402735];23585338;pedestrian;Rue Orbe;paving_stones;36.7
23585338-4;[255402735, 8074523115];23585338;pedestrian;Rue Orbe;paving_stones;29.1
23585338-5;[8074523115, 1828784582, 5487050111, 255402679];23585338;pedestrian;Rue Orbe;paving_stones;34.0
23585340;[388382241, 6256038960, 8254499980, 388189690];23585340;pedestrian;Place Jacques Portes;concrete:plates;53.4
23585367-1;[255402931, 1890041833, 3563697928];23585367;secondary;Avenue Duvergier de Hauranne;asphalt;34.6
23585367-2;[3563697928, 1797215396, 3513549740, 1797215395, 255402932];23585367;secondary;Avenue Duvergier de Hauranne;asphalt;75.0
23776407-1;[254920705, 5008960735];23776407;residential;Rue Marengo;asphalt;10.7
23776407-2;[5008960735, 257607801];23776407;residential;Rue Marengo;asphalt;69.7
24778994;[255402735, 1828784585];24778994;pedestrian;Rue de la Monnaie;sett;20.5
33881143;[388189690, 7055043849];33881143;pedestrian;Rue Albert 1er;asphalt;31.6
33881157;[388189759, 4119124865, 8294396070, 6043901034, 388189760];33881157;residential;Rue du 49e Régiment d'Infanterie;;34.0
33881166-1;[388189778, 1796035922];33881166;residential;Rue Jules Labat;asphalt;9.4
33881166-2;[1796035922, 6043931687];33881166;residential;Rue Jules Labat;asphalt;23.0
33881166-3;[6043931687, 388189779];33881166;residential;Rue Jules Labat;asphalt;35.4
33881166-4;[388189779, 388382243];33881166;residential;Rue Jules Labat;asphalt;10.4
33881168;[388382253, 1796035923, 388189779];33881168;residential;Rue du Temple;;38.5
33881170;[388189796, 3585243484, 3585243489, 388189795];33881170;residential;Rue André Bouillar;;38.6
33881281;[4867744975, 254935709, 570750540];33881281;residential;Quai de Lesseps;asphalt;139.2
33892685;[254920704, 8231858772, 388487692];33892685;residential;Pont Marengo;asphalt;15.1
33892687;[1806155778, 388324411, 1797205800, 254920454];33892687;tertiary;Pont du Génie;asphalt;11.5
33898644-1;[4014816148, 388382433, 388382428, 388382422];33898644;pedestrian;Rue Passemillon;asphalt;39.5
33898644-2;[388382422, 388382418];33898644;pedestrian;Rue Passemillon;asphalt;50.4
33898646;[269247897, 4868366910, 7531505242];33898646;residential;Rue des Gouverneurs;asphalt;45.9
33898649-1;[269247910, 2441501526, 388382398];33898649;residential;Rue des Prébendés;sett;36.7
33898649-2;[388382398, 2441501518];33898649;residential;Rue des Prébendés;sett;17.2
33898651-1;[4868366903, 4868366902];33898651;residential;Rue des Gouverneurs;paving_stones;20.3
33898651-2;[4868366902, 269247897];33898651;residential;Rue des Gouverneurs;paving_stones;7.6
33898653-1;[269247895, 10929143675];33898653;pedestrian;Rue Notre-Dame;paving_stones;3.1
33898653-2;[10929143675, 2441501539];33898653;pedestrian;Rue Notre-Dame;paving_stones;4.4
33898653-3;[2441501539, 269247897];33898653;pedestrian;Rue Notre-Dame;paving_stones;44.4
33898655;[269247914, 6256038969, 5480563762, 3563718669, 269247916];33898655;residential;Place du Château-Vieux;asphalt;86.4
33898657-1;[388382386, 7606578906, 2436291999, 7606578907, 388382395, 2436292000, 1797141976, 1797141977];33898657;residential;Boulevard du Rempart Lachepaillet;asphalt;59.3
33898657-2;[1797141977, 1797141978];33898657;residential;Boulevard du Rempart Lachepaillet;asphalt;73.2
33898657-3;[1797141978, 1797141979];33898657;residential;Boulevard du Rempart Lachepaillet;asphalt;29.0
33898657-4;[1797141979, 5790038515];33898657;residential;Boulevard du Rempart Lachepaillet;asphalt;9.8
33898657-5;[5790038515, 269247912];33898657;residential;Boulevard du Rempart Lachepaillet;asphalt;8.5
33898657-6;[269247912, 7606578901, 269247914];33898657;residential;Boulevard du Rempart Lachepaillet;asphalt;101.1
33898657-7;[269247914, 6256038970, 388382225, 8254491234];33898657;residential;Boulevard du Rempart Lachepaillet;asphalt;28.0
33898657-8;[8254491234, 5487050110, 388382226, 6256038972, 388382227, 6256038971, 388382229, 5487050109, 388382230, 5487050108, 5487050107, 388382232, 388382234, 5487050106, 388382236, 388382239, 1796035921];33898657;residential;Boulevard du Rempart Lachepaillet;asphalt;102.2
33898657-9;[1796035921, 388189778];33898657;residential;Boulevard du Rempart Lachepaillet;asphalt;6.9
33898658;[388189793, 712884540];33898658;residential;Rue de Gramont;;49.7
33898659-1;[255321717, 3668904712];33898659;residential;Place des Basques;asphalt;8.0
33898659-2;[3668904712, 8242420520];33898659;residential;Place des Basques;asphalt;11.4
33898659-3;[8242420520, 3668906279, 388382247];33898659;residential;Place des Basques;asphalt;13.7
33898660;[388382253, 5602458346, 388382255];33898660;living_street;Rue du Temple;;46.2
33898661;[388382259, 4109357226, 388382262];33898661;pedestrian;Rue Édouard Ducéré;paving_stones;33.5
33898663;[388314411, 4109357225, 388314412];33898663;pedestrian;Rue des Carmes;paving_stones;71.9
33898665;[388382272, 388382269, 3513549750, 388382274];33898665;pedestrian;Ruelle Port-Neuf;paving_stones;35.4
33898667;[388382280, 863337494, 388382282];33898667;pedestrian;Ruelle Gardin;asphalt;129.8
33898668-1;[1829826279, 2502504414];33898668;pedestrian;Rue Argenterie;paving_stones;2.6
33898668-2;[2502504414, 1829826278, 388382285, 10929143674];33898668;pedestrian;Rue Argenterie;paving_stones;67.0
33898668-3;[10929143674, 388382293];33898668;pedestrian;Rue Argenterie;paving_stones;1.6
33898671;[388382297, 388382294];33898671;pedestrian;Rue Gosse;;93.6
33898673-1;[1829826282, 2502504413];33898673;pedestrian;Rue de la Salie;paving_stones;3.3
33898673-2;[2502504413, 388382303];33898673;pedestrian;Rue de la Salie;paving_stones;43.6
33898673-3;[388382303, 388382307, 388382309, 388382312, 255401810];33898673;pedestrian;Rue de la Salie;paving_stones;94.9
33898676-1;[388382331, 5464791122, 6159080940];33898676;pedestrian;Rue Bernadou;;64.6
33898676-2;[6159080940, 6154744495];33898676;pedestrian;Rue Bernadou;;28.8
33898676-3;[6154744495, 388382328];33898676;pedestrian;Rue Bernadou;;4.3
33898677-1;[388382332, 4109357217, 10929144611];33898677;pedestrian;Rue de Luc;paving_stones;36.6
33898677-2;[10929144611, 388382335];33898677;pedestrian;Rue de Luc;paving_stones;44.8
33898679-1;[388382341, 2779738355];33898679;residential;Rue Sabaterie;asphalt;3.4
33898679-2;[2779738355, 2779738353];33898679;residential;Rue Sabaterie;asphalt;30.8
33898679-3;[2779738353, 388382339];33898679;residential;Rue Sabaterie;asphalt;6.1
33898679-4;[388382339, 4109357218];33898679;residential;Rue Sabaterie;asphalt;3.0
33898680-1;[388382386, 2436291997];33898680;residential;Rue des Faures;asphalt;9.0
33898680-2;[2436291997, 7636051503];33898680;residential;Rue des Faures;asphalt;1.8
33898682;[388382398, 388382401, 388382407, 388382341];33898682;residential;Rue Douer;paving_stones;93.7
33898683-1;[388382222, 5732084627];33898683;residential;Rue des Faures;asphalt;34.1
33898683-2;[5732084627, 388382223, 388382224, 269247910];33898683;residential;Rue des Faures;asphalt;109.3
33898684-1;[631661837, 631661834, 631661835, 2779738353];33898684;pedestrian;Place Montaut;asphalt;73.1
33898684-2;[2779738353, 2779738355];33898684;pedestrian;Place Montaut;asphalt;30.8
33898684-3;[2779738355, 631661837];33898684;pedestrian;Place Montaut;asphalt;30.0
33898685-1;[388382440, 388382450];33898685;pedestrian;Rue Lagréou;;81.0
33898685-2;[388382450, 388382297];33898685;pedestrian;Rue Lagréou;;4.3
33898685-3;[388382297, 4014816154];33898685;pedestrian;Rue Lagréou;;32.2
33898685-4;[4014816154, 4014816148];33898685;pedestrian;Rue Lagréou;;20.7
33898686;[388382450, 388382422];33898686;pedestrian;Rue Gosse;asphalt;31.2
33898687-1;[388382414, 388382452, 388386048, 388386051, 388382455, 388382418];33898687;pedestrian;Place des Victoires;;61.8
33898687-2;[388382418, 388382414];33898687;pedestrian;Place des Victoires;;18.7
33898688-1;[388382460, 388382463];33898688;pedestrian;Rue des Augustins;asphalt;25.1
33898688-2;[388382463, 388382466, 4109357221];33898688;pedestrian;Rue des Augustins;asphalt;65.2
33898689;[255400676, 4868369148];33898689;tertiary;Avenue de Pampelune;asphalt;15.6
33898690-1;[8887883469, 5422316982];33898690;residential;Rue de l'Abesque;asphalt;20.8
33898690-2;[5422316982, 388382473, 5487050098, 2441501537, 5487050099, 388382475, 5487050100, 269247910];33898690;residential;Rue de l'Abesque;asphalt;31.9
33898691;[388382478, 9887512373];33898691;footway;Ruelle des Basques;;2.9
33898696-1;[388382386, 2436291995, 388382389, 2436291990, 1797141975];33898696;residential;Boulevard du Rempart Lachepaillet;asphalt;60.0
33898696-2;[1797141975, 2436291983, 388382393, 1797141974];33898696;residential;Boulevard du Rempart Lachepaillet;asphalt;28.6
33898698;[388382460, 5484526628];33898698;steps;Passage de la Pusterle;sett;13.5
33899076-1;[4868366905, 631661838, 3513549746];33899076;pedestrian;Place Monseigneur Vansteenberghe;paving_stones;30.9
33899076-2;[3513549746, 631661839, 7930570162];33899076;pedestrian;Place Monseigneur Vansteenberghe;paving_stones;29.0
33899076-3;[7930570162, 2441501516, 388386015, 388386019, 3513549747];33899076;pedestrian;Place Monseigneur Vansteenberghe;paving_stones;47.6
33899076-4;[3513549747, 4868366905];33899076;pedestrian;Place Monseigneur Vansteenberghe;paving_stones;1.8
33899077-1;[388382328, 6154744496];33899077;pedestrian;Rue Port de Suzeye;paving_stones;5.2
33899077-2;[6154744496, 388382329];33899077;pedestrian;Rue Port de Suzeye;paving_stones;34.5
33899079-1;[2441627780, 255400671];33899079;pedestrian;Rue du Pilori;sett;18.0
33899079-2;[255400671, 10929143690];33899079;pedestrian;Rue du Pilori;sett;2.4
33899079-3;[10929143690, 388382326, 388382303];33899079;pedestrian;Rue du Pilori;sett;51.3
33899080-1;[388382339, 7207878242, 388382411, 6583692159, 388382332];33899080;residential;Rue Montaut;sett;70.8
33899080-2;[388382332, 6583692160, 388382337];33899080;residential;Rue Montaut;sett;30.0
33899081-1;[388382353, 388382350, 4466289082];33899081;pedestrian;Rue Vieille Boucherie;asphalt;51.9
33899081-2;[4466289082, 4466289081];33899081;pedestrian;Rue Vieille Boucherie;asphalt;25.9
33899081-3;[4466289081, 2436292001, 388382405];33899081;pedestrian;Rue Vieille Boucherie;asphalt;40.0
33899195;[388487694, 254920559];33899195;pedestrian;Pont Pannecau;asphalt;7.9
33907992;[5484528547, 3668887345, 388487694];33907992;pedestrian;Pont Pannecau;asphalt;47.1
33907998-1;[255403449, 1890041741, 4117156040];33907998;residential;Rue Gustave Eiffel;;12.4
33907998-2;[4117156040, 255403450, 1797215410];33907998;residential;Rue Gustave Eiffel;;22.5
33907998-3;[1797215410, 5484528524, 1829828192, 1829828185];33907998;residential;Rue Gustave Eiffel;;59.5
33908589;[840829607, 5484526646, 388324410];33908589;tertiary;Pont du Génie;asphalt;14.7
34571115-1;[3635764344, 3635764345, 255402866];34571115;secondary;Giratoire Dassié;asphalt;7.8
34571115-2;[255402866, 3635764337, 401332551, 1797215399, 3635764338, 3635764339, 401332553, 3635764340, 3635764341, 6406843625, 255402931];34571115;secondary;Giratoire Dassié;asphalt;34.8
34571115-3;[255402931, 401332568, 401332556, 3635764342, 255403449];34571115;secondary;Giratoire Dassié;asphalt;16.3
34571115-4;[255403449, 401332558, 3635764343, 401332562];34571115;secondary;Giratoire Dassié;asphalt;11.4
34571115-5;[401332562, 401332560, 3635764344];34571115;secondary;Giratoire Dassié;asphalt;5.4
34571119-1;[401332562, 1890041672, 5484526671, 4117139168];34571119;secondary;Avenue Duvergier de Hauranne;asphalt;40.9
34571119-2;[4117139168, 401332578, 401332570];34571119;secondary;Avenue Duvergier de Hauranne;asphalt;30.5
34571120;[401332570, 476370678, 5484528658, 5484526670, 476370675, 1890041728, 6406843624, 5484528657, 255402866];34571120;secondary;Avenue Duvergier de Hauranne;asphalt;68.9
39676219;[711707605, 5484526694, 255402862];39676219;secondary;Avenue Duvergier de Hauranne;asphalt;49.8
39726137-1;[476283458, 8438600321];39726137;residential;Giratoire Albert Thomas;;0.9
39726137-2;[8438600321, 1840379708, 2858096163, 6753623794];39726137;residential;Giratoire Albert Thomas;;11.1
39726137-3;[6753623794, 2858096160, 2858096157, 2858096165, 476283454];39726137;residential;Giratoire Albert Thomas;;14.0
39726139;[476283454, 5464276933, 5464276934, 476283459];39726139;residential;Boulevard Jean Jaurès;asphalt;28.3
39726140;[476283453, 3874411849, 2858095583, 476283460, 6753623792, 6753623791, 6753623789, 3415985384, 6753623790, 254933412];39726140;residential;Rue René Cuzacq;;85.2
39726141;[476283459, 5464276935, 476283455];39726141;residential;Boulevard Jean Jaurès;asphalt;28.8
39726146-1;[476283457, 476283486];39726146;residential;Rue René Cuzacq;;15.3
39726146-2;[476283486, 3874411854, 476283463];39726146;residential;Rue René Cuzacq;;18.1
39726157-1;[476283463, 6167963119, 6753623800];39726157;residential;Rue René Cuzacq;;24.0
39726157-2;[6753623800, 476283458];39726157;residential;Rue René Cuzacq;;6.0
39726158-1;[570763260, 4241174164];39726158;residential;Rue René Cuzacq;;44.5
39726158-2;[4241174164, 7695764686, 476283464];39726158;residential;Rue René Cuzacq;;7.5
39726159;[476283456, 5464276931, 5464276932, 5464276936, 5464276937, 476283483, 11257819636];39726159;residential;Impasse Rigaud;asphalt;41.7
39726160-1;[476283484, 5808917270, 5808917269];39726160;residential;Rue de l'Adour;asphalt;88.5
39726160-2;[5808917269, 476283485, 7695922593, 476283490, 8758462032];39726160;residential;Rue de l'Adour;asphalt;132.1
39726160-3;[8758462032, 8758462086, 1795796667, 476283489];39726160;residential;Rue de l'Adour;asphalt;15.2
39726161;[476283486, 3758984769, 3758984767, 3758984768, 7695922592, 476283484];39726161;residential;Avenue des Prés;asphalt;85.5
39726164;[1829836630, 8758462053];39726164;residential;Rue des Lavandières;asphalt;49.4
39729513;[255402862, 9573469344, 1690923979, 1690923976, 5484528529, 3730559972, 3730559971, 254951178];39729513;residential;Avenue Commandant William Boissel;asphalt;132.8
39729516-1;[1806149144, 8963275772, 1806149150];39729516;tertiary;Rue des Lisses;asphalt;15.6
39729516-2;[1806149150, 5494546559, 706302251, 1801329749];39729516;tertiary;Rue des Lisses;asphalt;17.1
39729516-3;[1801329749, 5494546548, 1837681174];39729516;tertiary;Rue des Lisses;asphalt;21.1
39729517;[254951185, 8995565843, 3737650714, 269248034];39729517;residential;Rue Jacques Laffitte;asphalt;56.5
44960482;[6753623803, 570056479, 570056253];44960482;residential;Rue Albert Thomas;asphalt;60.4
44960485;[6167949114, 6212829695, 6212829696, 570056326, 6212829694, 577898267, 6212829693, 4215019252, 570056330];44960485;unclassified;Chemin de Saint-Étienne;asphalt;140.8
45018222-1;[570750535, 3150311592, 751512613];45018222;residential;Rue Sainte-Ursule;asphalt;25.5
45018222-2;[751512613, 5824252284, 570750536];45018222;residential;Rue Sainte-Ursule;asphalt;32.7
45018222-3;[570750536, 5824252283, 751512633];45018222;residential;Rue Sainte-Ursule;asphalt;116.2
45018222-4;[751512633, 5473754749];45018222;residential;Rue Sainte-Ursule;asphalt;10.0
45018222-5;[5473754749, 4867744996, 570750538, 10114074342, 1795586397];45018222;residential;Rue Sainte-Ursule;asphalt;55.1
45018222-6;[1795586397, 10114074341, 570750539, 1795586401];45018222;residential;Rue Sainte-Ursule;asphalt;41.0
45018241-1;[254935706, 5464276919, 3150255638, 5464276918, 570750562];45018241;unclassified;Place Sainte-Ursule;asphalt;33.9
45018241-2;[570750562, 2441623407];45018241;unclassified;Place Sainte-Ursule;asphalt;3.3
45018241-3;[2441623407, 5824252287, 570750535];45018241;unclassified;Place Sainte-Ursule;asphalt;38.6
45018242-1;[570750535, 570751025];45018242;residential;Rue Sainte-Ursule;asphalt;57.4
45018242-2;[570751025, 578393961];45018242;residential;Rue Sainte-Ursule;asphalt;18.5
45019630;[254932622, 5810243747, 570760353, 570760355, 5810243746, 570760356];45019630;residential;Avenue Division Leclerc;;229.7
45019898-1;[8152001267, 1795814043];45019898;residential;Rue Émile Betsellère;asphalt;10.3
45019898-2;[1795814043, 3874411846, 7695786525, 570763260];45019898;residential;Rue Émile Betsellère;asphalt;104.5
45425190-1;[8138561237, 8138561228, 8138561227, 5863469340];45425190;residential;Rue Sergent Marcel Duhau;asphalt;40.9
45425190-2;[5863469340, 3874411852, 570056473, 8138561226, 5863469326];45425190;residential;Rue Sergent Marcel Duhau;asphalt;85.1
45425190-3;[5863469326, 5863469325];45425190;residential;Rue Sergent Marcel Duhau;asphalt;8.8
45425190-4;[5863469325, 5863469318];45425190;residential;Rue Sergent Marcel Duhau;asphalt;45.2
45425190-5;[5863469318, 8138561225, 1797187501];45425190;residential;Rue Sergent Marcel Duhau;asphalt;36.0
45425190-6;[1797187501, 8138561224, 570056472, 8138561223, 3874411855, 8138561219, 570056264];45425190;residential;Rue Sergent Marcel Duhau;asphalt;137.4
45453471-1;[3686722555, 7003875546, 11283173248];45453471;footway;Rue de la Cabotte;asphalt;11.5
45453471-2;[11283173248, 1694774128, 5484289583, 1694774136];45453471;footway;Rue de la Cabotte;asphalt;32.4
45453482-1;[254053872, 11283173256];45453482;residential;Rue Tombeloli;asphalt;3.0
45453482-2;[11283173256, 5484289616, 3055034766, 5484289606];45453482;residential;Rue Tombeloli;asphalt;24.5
45453482-3;[5484289606, 578393996];45453482;residential;Rue Tombeloli;asphalt;16.6
45456373-1;[254053891, 7547642596, 5487050084, 3770909478, 1890041713, 254053892];45456373;service;Avenue Maréchal Leclerc;;60.9
45456373-2;[254053892, 5487050085, 5487050081, 5487050086, 254053894];45456373;service;Avenue Maréchal Leclerc;;58.2
45456375;[7003853474, 7003875556, 7003875562, 7003875563, 7590075013, 7003875564, 7590075014];45456375;service;Place du Réduit;asphalt;79.7
45457113-1;[254053905, 3605927461];45457113;residential;Allée des Roses;asphalt;8.7
45457113-2;[3605927461, 578474134];45457113;residential;Allée des Roses;asphalt;46.5
46623741-1;[255402743, 3554296011];46623741;residential;Avenue Maréchal Foch;;12.3
46623741-2;[3554296011, 5926935761];46623741;residential;Avenue Maréchal Foch;;93.7
46623741-3;[5926935761, 10781733740, 5926935754];46623741;residential;Avenue Maréchal Foch;;22.8
46623741-4;[5926935754, 2024619913, 10781733741, 3247798529];46623741;residential;Avenue Maréchal Foch;;68.6
46623741-5;[3247798529, 3554296012, 704988995];46623741;residential;Avenue Maréchal Foch;;66.9
46760477-1;[254053883, 8437365382];46760477;residential;Rue Bourgneuf;asphalt;7.5
46760477-2;[8437365382, 4868225024, 6945574251];46760477;residential;Rue Bourgneuf;asphalt;6.4
46760482-1;[269248037, 3649039332, 5971540401];46760482;residential;Rue Bourgneuf;asphalt;50.7
46760482-2;[5971540401, 597616147, 597616148];46760482;residential;Rue Bourgneuf;asphalt;23.4
46760511-1;[597616221, 10143043254];46760511;residential;Square Léo Pouzac;asphalt;4.4
46760511-2;[10143043254, 6147646018];46760511;residential;Square Léo Pouzac;asphalt;35.2
46760511-3;[6147646018, 10143043256, 254951184];46760511;residential;Square Léo Pouzac;asphalt;9.2
46760513;[597616222, 6147646006, 6147646007, 10143043257, 254951183];46760513;residential;Square Léo Pouzac;asphalt;33.4
46760530-1;[597616412, 706302160];46760530;residential;Rue Pontrique;asphalt;21.2
46760530-2;[706302160, 597616411];46760530;residential;Rue Pontrique;asphalt;11.4
46760530-3;[597616411, 706302155, 4109391673, 257607801];46760530;residential;Rue Pontrique;asphalt;49.1
46760562-1;[8870131917, 4109191338, 5643154849];46760562;pedestrian;Quai Augustin Chaho;sett;20.8
46760562-2;[5643154849, 597618534, 8870131924];46760562;pedestrian;Quai Augustin Chaho;sett;16.7
46760562-3;[8870131924, 3737650702, 8870131923];46760562;pedestrian;Quai Augustin Chaho;sett;24.9
46760562-4;[8870131923, 8870131926];46760562;pedestrian;Quai Augustin Chaho;sett;17.9
46760562-5;[8870131926, 5484528553];46760562;pedestrian;Quai Augustin Chaho;sett;9.7
46760562-6;[5484528553, 597617491];46760562;pedestrian;Quai Augustin Chaho;sett;9.9
46760562-7;[597617491, 597618539];46760562;pedestrian;Quai Augustin Chaho;sett;39.3
46760562-8;[597618539, 5484528548, 597618542];46760562;pedestrian;Quai Augustin Chaho;sett;65.9
46761142-1;[1827160769, 10055688309, 5763708921, 2321308341];46761142;tertiary;;asphalt;54.3
46761142-2;[2321308341, 7593314792, 254521786];46761142;tertiary;;asphalt;27.3
46761175-1;[254521784, 3554319599];46761175;tertiary;;;10.5
46761175-2;[3554319599, 7593314794, 7593314793, 5763708922, 10055688308];46761175;tertiary;;;35.9
46761448-1;[597626840, 6015172764, 2024619912];46761448;residential;Avenue Louise Darracq;;15.4
46761448-2;[2024619912, 6015172766, 6015172767, 704988996];46761448;residential;Avenue Louise Darracq;;255.0
49695415;[388382329, 254920704];49695415;living_street;Quai Dominique Roquebert;asphalt;35.7
49695416;[254053884, 255321728, 1801848709];49695416;residential;Quai Amiral Dubourdieu;asphalt;13.8
49695417-1;[388382331, 364415040];49695417;pedestrian;Rue Poissonnerie;;17.4
49695417-2;[364415040, 255401810];49695417;pedestrian;Rue Poissonnerie;;17.4
49695417-3;[255401810, 388382468];49695417;pedestrian;Rue Poissonnerie;;3.1
49695418;[388382303, 4109357222, 388382328];49695418;pedestrian;Rue Guilhamin;paving_stones;44.3
49695420-1;[254920705, 7565795334];49695420;residential;Quai des Corsaires;sett;8.5
49695420-2;[7565795334, 967747788];49695420;residential;Quai des Corsaires;sett;10.6
49695420-3;[967747788, 631661853];49695420;residential;Quai des Corsaires;sett;44.6
56178025-1;[704989000, 6015172768, 3732013416, 3554263893];56178025;unclassified;Avenue Maréchal Harispe;;262.0
56178025-2;[3554263893, 7593034942, 704988999];56178025;unclassified;Avenue Maréchal Harispe;;15.9
56178026-1;[704988996, 3732013418, 704989000];56178026;unclassified;Avenue Maurice Goalard;asphalt;52.2
56178026-2;[704989000, 3732013419, 10708960723, 10708960721, 5784888941, 704989001];56178026;unclassified;Avenue Maurice Goalard;asphalt;42.6
56178027;[704988991, 6015172773, 6015172772, 2024619984, 704988997, 2024619985, 704988998, 5926914304, 3660030339, 8989919409, 10757161618, 704988987];56178027;residential;Avenue Jean Molinié;asphalt;315.1
56300942-1;[706302160, 706302162, 706302156];56300942;residential;Rue du Trinquet;asphalt;67.2
56300942-2;[706302156, 1808592005];56300942;residential;Rue du Trinquet;asphalt;3.3
56300942-3;[1808592005, 1808592003];56300942;residential;Rue du Trinquet;asphalt;20.3
56300942-4;[1808592003, 706302255];56300942;residential;Rue du Trinquet;asphalt;47.1
56300943-1;[706302150, 597616412];56300943;residential;Rue des Tonneliers;asphalt;77.2
56300943-2;[597616412, 1808592004];56300943;residential;Rue des Tonneliers;asphalt;70.2
56300943-3;[1808592004, 4466301032];56300943;residential;Rue des Tonneliers;asphalt;20.9
56300943-4;[4466301032, 706302243];56300943;residential;Rue des Tonneliers;asphalt;16.9
56300945-1;[1806149150, 3580231908, 4109391671, 706302247, 706302138];56300945;pedestrian;Rue des Cordeliers;asphalt;81.6
56300945-2;[706302138, 706302141];56300945;pedestrian;Rue des Cordeliers;asphalt;43.3
56300945-3;[706302141, 706302125, 8434579205];56300945;pedestrian;Rue des Cordeliers;asphalt;32.4
56300945-4;[8434579205, 1808592002];56300945;pedestrian;Rue des Cordeliers;asphalt;12.3
56300945-5;[1808592002, 597618539];56300945;pedestrian;Rue des Cordeliers;asphalt;19.1
56300958;[706302159, 706302167];56300958;residential;Rue des Visitandines;;23.9
56300960;[706302148, 706302165, 597616411];56300960;residential;Rue de Coursic;asphalt;77.7
56300961-1;[706302141, 706302153];56300961;pedestrian;Rue Charcutière;asphalt;29.4
56300961-2;[706302153, 706302151];56300961;pedestrian;Rue Charcutière;asphalt;34.6
56300962;[706302153, 706302146];56300962;pedestrian;Rue Charcutière;asphalt;20.0
56300963;[706302144, 2429841208, 706302138];56300963;pedestrian;Rue Pierre Lesca;;43.1
56300966-1;[269248038, 9942175353];56300966;tertiary;Place Paul Bert;asphalt;8.8
56300966-2;[9942175353, 1801329761];56300966;tertiary;Place Paul Bert;asphalt;37.8
56300966-3;[1801329761, 6552508375];56300966;tertiary;Place Paul Bert;asphalt;24.5
56300966-4;[6552508375, 1879448353];56300966;tertiary;Place Paul Bert;asphalt;14.5
56300966-5;[1879448353, 706302504];56300966;tertiary;Place Paul Bert;asphalt;6.1
56300970;[706302243, 706302236];56300970;residential;Rue du Jeu de Paume;paving_stones;28.8
56300972-1;[706302259, 3649039333];56300972;residential;Rue des Jacobins;asphalt;6.4
56300972-2;[3649039333, 597616148];56300972;residential;Rue des Jacobins;asphalt;65.3
56300973;[706302268, 6154744502, 706302504];56300973;residential;Rue Monseigneur François Lacroix;asphalt;82.4
56301382-1;[401332570, 9573469337, 1944409577, 706311277, 1944409576, 706311222];56301382;residential;Rue Poydenot;;114.6
56301382-2;[706311222, 7606537384, 7606537383, 9573469341, 7606600287];56301382;residential;Rue Poydenot;;76.0
56301383;[706311222, 706311282, 706311327, 706311284];56301383;residential;Impasse Poydenot;;112.5
57015136-1;[255402681, 9949238068, 11251779349, 6541875387, 388382262];57015136;secondary;Rue Bernède;asphalt;34.2
57015136-2;[388382262, 255402704];57015136;secondary;Rue Bernède;asphalt;47.4
57015142-1;[388189760, 388189695, 2290806513];57015142;secondary;Place Général de Gaulle;;51.0
57015142-2;[2290806513, 5487050076];57015142;secondary;Place Général de Gaulle;;38.6
57015142-3;[5487050076, 1829826281, 255402681];57015142;secondary;Place Général de Gaulle;;13.2
57015165-1;[254053891, 7260687854, 11524917408];57015165;service;Rue Louise Michel;asphalt;31.8
57015165-2;[11524917408, 7181662976, 7181662979, 1890041772, 255402681];57015165;service;Rue Louise Michel;asphalt;60.3
